"ano","mes","dia","local","serie","artista","repertorio"
"2011","dezembro","15","Palácio das Artes","Allegro","Fabio Mechetti, regente
","LISZT | Concerto para piano nº 1 em Mi bemol maior"
"2011","dezembro","15","Palácio das Artes","Allegro","Fabio Mechetti, regente
","LISZT | Sinfonia “Fausto”"
"2011","dezembro","15","Palácio das Artes","Allegro","Vanessa Cunha, piano
","LISZT | Concerto para piano nº 1 em Mi bemol maior"
"2011","dezembro","15","Palácio das Artes","Allegro","Vanessa Cunha, piano
","LISZT | Sinfonia “Fausto”"
"2011","dezembro","15","Palácio das Artes","Allegro","Martin Muehle, tenor
","LISZT | Concerto para piano nº 1 em Mi bemol maior"
"2011","dezembro","15","Palácio das Artes","Allegro","Martin Muehle, tenor
","LISZT | Sinfonia “Fausto”"
"2011","dezembro","15","Palácio das Artes","Allegro","Coral Lírico de Minas Gerais, coro masculino","LISZT | Concerto para piano nº 1 em Mi bemol maior"
"2011","dezembro","15","Palácio das Artes","Allegro","Coral Lírico de Minas Gerais, coro masculino","LISZT | Sinfonia “Fausto”"
"2011","dezembro","6","Palácio das Artes","Vivace","Fabio Mechetti, regente","MAHLER | Sinfonia nº 6 em lá menor, “Trágica”"
"2011","novembro","27","Sesc Palladium","Concertos para a Juventude","Marcos Arakaki, regente
","ROSSINI | O barbeiro de Sevilha: Abertura"
"2011","novembro","27","Sesc Palladium","Concertos para a Juventude","Marcos Arakaki, regente
","DOHNÁNYI | Variações sobre uma canção de ninar"
"2011","novembro","27","Sesc Palladium","Concertos para a Juventude","Marcos Arakaki, regente
","GRIEG | Peer Gynt: Suíte nº 1"
"2011","novembro","27","Sesc Palladium","Concertos para a Juventude","Marcos Arakaki, regente
","KATCHATURIAN | Suíte Masquerade: Galop"
"2011","novembro","27","Sesc Palladium","Concertos para a Juventude","Ronaldo Rolim, piano","ROSSINI | O barbeiro de Sevilha: Abertura"
"2011","novembro","27","Sesc Palladium","Concertos para a Juventude","Ronaldo Rolim, piano","DOHNÁNYI | Variações sobre uma canção de ninar"
"2011","novembro","27","Sesc Palladium","Concertos para a Juventude","Ronaldo Rolim, piano","GRIEG | Peer Gynt: Suíte nº 1"
"2011","novembro","27","Sesc Palladium","Concertos para a Juventude","Ronaldo Rolim, piano","KATCHATURIAN | Suíte Masquerade: Galop"
"2011","novembro","22","Palácio das Artes","Vivace","Stefan Sanderling, regente convidado
","MOZART | La clemenza di Tito: Abertura"
"2011","novembro","22","Palácio das Artes","Vivace","Stefan Sanderling, regente convidado
","MOZART | Sinfonia concertante em Mi bemol maior, K. 364"
"2011","novembro","22","Palácio das Artes","Vivace","Stefan Sanderling, regente convidado
","PROKOFIEV | Sinfonia nº 6 em mi bemol menor, op. 111"
"2011","novembro","22","Palácio das Artes","Vivace","Anthony Flint, violino
","MOZART | La clemenza di Tito: Abertura"
"2011","novembro","22","Palácio das Artes","Vivace","Anthony Flint, violino
","MOZART | Sinfonia concertante em Mi bemol maior, K. 364"
"2011","novembro","22","Palácio das Artes","Vivace","Anthony Flint, violino
","PROKOFIEV | Sinfonia nº 6 em mi bemol menor, op. 111"
"2011","novembro","22","Palácio das Artes","Vivace","João Carlos Ferreira, viola","MOZART | La clemenza di Tito: Abertura"
