ano,mes,dia,local,serie,artista,compositor,obra,periodo
2016,dezembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Fabio Mechetti, regente",MAHLER, Sinfonia nº 7 em mi menor,ROMANTISMO
2016,dezembro,15 e 16,Sala Minas Gerais,Allegro/Vivace,"Fabio Mechetti, regente",MAHLER, Sinfonia nº 7 em mi menor,ROMANTISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Fabio Mechetti, regente",MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Marcus Julius Lander, clarinete
",MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Marcus Julius Lander, clarinete
",MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Marcus Julius Lander, clarinete
",MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Marcus Julius Lander, clarinete
",MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Marcus Julius Lander, clarinete
",MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Marcus Julius Lander, clarinete
",MOZART," Requiem, K. 626",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Mariana Ortiz, soprano",MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Mariana Ortiz, soprano",MOZART, A clemência de Tito: Abertura,CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Mariana Ortiz, soprano",MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
2016,dezembro,9 e 10,Sala Minas Gerais,Fora de Série,"Mariana Ortiz, soprano",MOZART," Concerto para clarinete em Lá maior, K. 622",CLASSICISMO
