compositor,periodo
A. BARROS,CONTEMPORÂNEO
A. EDLER-COPES,CONTEMPORÂNEO
A. VIANA,CONTEMPORÂNEO
A. VIANNA,CONTEMPORÂNEO
ABREU/E. Barros,CONTEMPORÂNEO
ADAMS,CONTEMPORÂNEO
ALBÉNIZ,ROMANTISMO
ALBENIZ/Arbós,ROMANTISMO
ALBINONI,BARROCO
ALMEIDA PRADO,CONTEMPORÂNEO
ALUOTTO,CONTEMPORÂNEO
AMARAL VIEIRA,MODERNO
AMERICANO,NA
ANDERSON,CONTEMPORÂNEO
ARBAN,ROMANTISMO
ARBAN/M. Nakariakov,ROMANTISMO
ARNOLD,CONTEMPORÂNEO
ARRUDA,CONTEMPORÂNEO
ARUTIUNIAN,CONTEMPORÂNEO
BANDOLIM/E. Barros,CONTEMPORÂNEO
BARBER,ROMANTISMO
BARTÓK,MODERNO
BAX,MODERNO
BECKER,CONTEMPORÂNEO
BEETHOVEN,ROMANTISMO
BERIO,MODERNO
BERLIOZ,ROMANTISMO
BERNSTEIN,CONTEMPORÂNEO
BERNSTEIN/Gale,CONTEMPORÂNEO
BINELLI,CONTEMPORÂNEO
BINICKI,MODERNO
Bis: ABREU,CONTEMPORÂNEO
Bis: ABREU/E. Barros,CONTEMPORÂNEO
Bis: ABREU/E. Barros,CONTEMPORÂNEO
Bis: ANÔNIMO/Roussin,NA
Bis: BIZET,ROMANTISMO
Bis: BRAHMS,ROMANTISMO
Bis: C. P. E. BACH/Calandrelli,CLASSICISMO
Bis: FERNANDEZ,MODERNO
Bis: GIMENEZ,MODERNO
Bis: GINASTERA,MODERNO
Bis: GOMES,ROMANTISMO
Bis: GUARNIERI,MODERNO
Bis: HAENDEL,BARROCO
Bis: HEIDRICH,CONTEMPORÂNEO
Bis: J. S. BACH/Frackenpohl,BARROCO
Bis: JOBIM,CONTEMPORÂNEO
Bis: MENDELSSOHN/Civil,ROMANTISMO
Bis: OFFENBACH,ROMANTISMO
Bis: R. STRAUSS,ROMANTISMO
Bis: SÉJOURNÉ,CONTEMPORÂNEO
Bis: SMETANA,ROMANTISMO
Bis: TCHAIKOVSKY,ROMANTISMO
Bis: VILLA-LOBOS,MODERNO
BIZET,ROMANTISMO
BLUMER,MODERNO
BOCCHERINI,CLASSICISMO
BOONE,CONTEMPORÂNEO
BORÉM,CONTEMPORÂNEO
BORODIN,ROMANTISMO
BOSMANS,MODERNO
BOTTESINI,ROMANTISMO
BRAGA,MODERNO
BRAHMS,ROMANTISMO
BRAHMS/M. Schmeling,ROMANTISMO
BRAHMS/Schoenberg,ROMANTISMO
BRITTEN,MODERNO
BRUCH,ROMANTISMO
BRUCKNER,ROMANTISMO
BUSONI,ROMANTISMO
C. DOS SANTOS,CONTEMPORÂNEO
C. e M. CIMBLERIS,CLASSICISMO
C. PEREIRA,CONTEMPORÂNEO
CAGE,MODERNO
CALANDRELLI,CONTEMPORÂNEO
CALLADO,CONTEMPORÂNEO
CALLADO/W. Barros,CONTEMPORÂNEO
CASELLA,MODERNO
CASTRO LOBO,BARROCO
CHABRIER,ROMANTISMO
CHAVEZ,MODERNO
CHEETHAM,CONTEMPORÂNEO
CHOPIN,ROMANTISMO
CHOPIN/Glazunov,ROMANTISMO
CIMAROSA,CLASSICISMO
COELHO NETTO,BARROCO
COPLAND,MODERNO
CORIGLIANO,CONTEMPORÂNEO
CRAUSAZ,CONTEMPORÂNEO
CURNOW,CONTEMPORÂNEO
D’RIVERA,CONTEMPORÂNEO
DAVID,ROMANTISMO
DEBUSSY,MODERNO
DEBUSSY/Matthews,MODERNO
DEBUSSY/Molinari,MODERNO
DEBUSSY/Ravel,MODERNO
DEBUSSY/Taillard,MODERNO
DITTERSDORF,CLASSICISMO
DOHNÁNYI,MODERNO
DOM PEDRO I,ROMANTISMO
DORMAN,CONTEMPORÂNEO
DUKAS,MODERNO
DUTILLEUX,MODERNO
DVORÁK,ROMANTISMO
DVORÁK/Hazell,ROMANTISMO
E. CRAUSAZ,CONTEMPORÂNEO
ELGAR,ROMANTISMO
ENESCU,ROMANTISMO
EWALD,MODERNO
F. COSTA,CONTEMPORÂNEO
F. G. ROCHA,BARROCO
F. MORAIS,CONTEMPORÂNEO
FACÓ,CONTEMPORÂNEO
FALLA,MODERNO
FARKAS,CONTEMPORÂNEO
FARNABY/Howarth,RENASCIMENTO
FAURÉ,ROMANTISMO
FERNANDEZ,MODERNO
FERRO,CONTEMPORÂNEO
FRACKENPOHL,CONTEMPORÂNEO
FRANCK,ROMANTISMO
FREITAS,CONTEMPORÂNEO
FRIEDMAN & SAMUELS,MODERNO
G. GAGLIARDI,
GABRIELI,BARROCO
GABRIELI/Wicki,BARROCO
GARLAND,
GERSHWIN,CONTEMPORÂNEO
GERSHWIN/Bennett,CONTEMPORÂNEO
GERSHWIN/Grofé,CONTEMPORÂNEO
GERSHWIN/Taillard,CONTEMPORÂNEO
GINASTERA,MODERNO
GIORDANO,
GLAZUNOV,
GLINKA,ROMANTISMO
GNATTALI,MODERNO
GNATTALLI,MODERNO
GOMES,ROMANTISMO
GOROSITO,
GOROSITO & ALBERTO,
GOUNOD,ROMANTISMO
GREEN,
GRIEG,ROMANTISMO
GUARNIERI,MODERNO
GUERRA-PEIXE,MODERNO
GUERRA-PEIXE/Araújo,MODERNO
GUIMARÃES,CONTEMPORÂNEO
H. SANTANA,
HAENDEL,BARROCO
HAENDEL/Bill Holcombe Jr.,BARROCO
HAENDEL/Stember,BARROCO
HAYAKAWA,
HAYDN,CLASSICISMO
HAYDN/Perry,CLASSICISMO
HERBERT,
HIME,CONTEMPORÂNEO
HINDEMITH,MODERNO
HOLST,MODERNO
HONEGGER,MODERNO
HONNEGER,MODERNO
HORTA JÚNIOR,CONTEMPORÂNEO
HUMMEL,
IAZZETTA,
IBERT,MODERNO
J. C. BACH,
J. P. SOUSA,
J. REIS,CONTEMPORÂNEO
J. S. BACH,BARROCO
J. S. BACH/Frackenpohl,BARROCO
J. S. BACH/Humphreys,BARROCO
J. S. BACH/Stokowski,BARROCO
J. S. BACH/Stokowsky,BARROCO
J. S. BACH/Webern,BARROCO
J. STRAUSS JR.,ROMANTISMO
J. WILLIAMS,CONTEMPORÂNEO
K-XIMBINHO,CONTEMPORÂNEO
K-XIMBINHO/E. Barros,CONTEMPORÂNEO
KABALEVSKY,ROMANTISMO
KALINNIKOV,
KALLINIKOV,
KATCHATURIAN,
KERNIS,
KETÈLBEY,
KHATCHATURIAN,
KODÁLY,MODERNO
KORNGOLD,MODERNO
KREISLER,
KREISLER/Korp & Hainzl,
KRIEGER,MODERNO
KUISMA,
L. A. IRLANDINI,
L. MOZART,CLASSICISMO
LACERDA,CONTEMPORÂNEO
LALO,
LANNA,CONTEMPORÂNEO
LEVITAN,
LEVY,
LIGET,MODERNO
LIGETI,MODERNO
LISLE,
LISZT,ROMANTISMO
LISZT/Müller-Berghaus,ROMANTISMO
LOBO DE MESQUITA,BARROCO
LORENZ,
LUTOSLAWSKI,CONTEMPORÂNEO
LUTTERBACH,
M. BITONDI,
M. FILHO,
M. LUCAS,
M. REZENDE,
M. SIQUEIRA,
M. T. FERREIRA,
MAHLER,ROMANTISMO
MARGUTTI,
MARQUEZ,
MÁRQUEZ,
MASCAGNI,ROMANTISMO
MASSENET,ROMANTISMO
MEDAGLIA,CONTEMPORÂNEO
MEDTNER,
MEHMARI,CONTEMPORÂNEO
MEINE,
MENDELSSOHN,ROMANTISMO
MENDELSSOHN/Civil,ROMANTISMO
MESSIAEN,MODERNO
MICHEL,
MIGNONE,MODERNO
MIGUEZ,MODERNO
MIKI,
MILHAUD,MODERNO
MIRANDA,
MONCAYO,
MOZART,CLASSICISMO
MOZART/Humphreys,CLASSICISMO
MUSSORGSKY,ROMANTISMO
MUSSORGSKY/Ravel,ROMANTISMO
NASCIMENTO,CONTEMPORÂNEO
NASSIF,CONTEMPORÂNEO
