ano,mes,dia_sep,serie,dia_semana,publico,pot_ocup
2016,dezembro,15,Allegro/Vivace,quinta,1479,1493
2016,dezembro,16,Allegro/Vivace,sexta,1428,1493
2016,dezembro,9,Fora de Série,sexta,1493,1493
2016,dezembro,10,Fora de Série,sábado,1493,1493
2016,dezembro,1,Presto/Veloce,quinta,1030,1282
2016,dezembro,2,Presto/Veloce,sexta,1358,1493
2016,novembro,24,Allegro/Vivace,quinta,1388,1457
2016,novembro,25,Allegro/Vivace,sexta,1314,1457
2016,novembro,20,Concertos para a Juventude,domingo,1493,1493
2016,novembro,10,Presto/Veloce,quinta,1068,1282
2016,novembro,11,Presto/Veloce,sexta,1005,1318
2016,novembro,5,Laboratório de Regência,sábado,1477,1493
2016,outubro,29,Fora de Série,sábado,1481,1493
2016,outubro,24,Concertos Didáticos,,,
2016,outubro,25,Concertos Didáticos,,,
2016,outubro,20,Allegro/Vivace,quinta,1330,1457
2016,outubro,21,Allegro/Vivace,sexta,1187,1318
2016,outubro,16,Concertos para a Juventude,domingo,1493,1493
2016,outubro,6,Presto/Veloce,quinta,1277,1457
2016,outubro,7,Presto/Veloce,sexta,1177,1318
2016,outubro,1,Fora de Série,sábado,1476,1493
2016,setembro,22,Presto/Veloce,quinta,1330,1457
2016,setembro,23,Presto/Veloce,sexta,1409,1493
2016,setembro,15,Allegro/Vivace,quinta,1389,1457
2016,setembro,16,Allegro/Vivace,sexta,1287,1318
2016,setembro,11,Inhotim,,,
2016,setembro,9,Concertos de Câmara,,,
2016,setembro,1,Presto/Veloce,quinta,1161,1282
2016,setembro,2,Presto/Veloce,sexta,1292,1318
2016,agosto,26,Concertos de Câmara,,,
2016,agosto,20,Fora de Série,sábado,1303,1318
2016,agosto,21,Fora de Série,domingo,,
2016,agosto,11,Allegro/Vivace,quinta,1354,1457
2016,agosto,12,Allegro/Vivace,sexta,1168,1318
2016,agosto,7,Concertos para a Juventude,domingo,1493,1493
2016,julho,28,Presto/Veloce,quinta,1066,1282
2016,julho,29,Presto/Veloce,sexta,943,1318
2016,julho,23,Fora de Série,sábado,1478,1493
2016,julho,16,Turnê Estadual,,,
2016,julho,14,Allegro/Vivace,quinta,1481,1493
2016,julho,15,Allegro/Vivace,sábado,1363,1493
2016,julho,7,Presto/Veloce,quinta,1100,1282
2016,julho,8,Presto/Veloce,sexta,949,1318
2016,julho,3,Concertos para a Juventude,domingo,1493,1493
2016,junho,23,Allegro/Vivace,quinta,1480,1493
2016,junho,24,Allegro/Vivace,sábado,1385,1493
2016,junho,18,Fora de Série,sábado,1478,1493
2016,junho,9,Presto/Veloce,quinta,1239,1282
2016,junho,10,Presto/Veloce,sábado,1348,1493
2016,junho,4,Turnê Estadual,,,
2016,junho,5,Turnê Estadual,,,
2016,maio,29,Concertos para a Juventude,dia_semana,1493,1493
2016,maio,25,Festival Tinta Fresca,quarta,1458,1493
2016,maio,19,Allegro/Vivace,quinta,1292,1457
2016,maio,20,Allegro/Vivace,sexta,1075,1318
2016,maio,14,Fora de Série,sábado,1493,1493
2016,maio,8,Clássicos na Praça,domingo,,
2016,maio,5,Presto/Veloce,quinta,1150,1282
2016,maio,6,Presto/Veloce,sexta,871,1318
2016,abril,28,Allegro/Vivace,quinta,1342,1457
2016,abril,29,Allegro/Vivace,sexta,1188,1318
2016,abril,24,Concertos para a Juventude,domingo,1493,1493
2016,abril,14,Presto/Veloce,quinta,1025,1282
2016,abril,15,Presto/Veloce,sexta,833,1318
2016,abril,7,Allegro/Vivace,quinta,1471,1493
2016,abril,8,Allegro/Vivace,sexta,1303,1318
2016,abril,2,Fora de Série,sábado,1493,1493
2016,março,17,Allegro/Vivace,quinta,NA,NA
2016,março,18,Allegro/Vivace,sexta,1128,1302
2016,março,10,Presto/Veloce,quinta,1006,1441
2016,março,11,Presto/Veloce,sexta,967,1302
2016,março,5,Fora de Série,sábado,1492,1493
2016,fevereiro,25,Presto/Veloce,quinta,1008,1266
2016,fevereiro,26,Presto/Veloce,sexta,861,1302
2016,fevereiro,18,Allegro/Vivace,quinta,1272,1302
2016,fevereiro,19,Allegro/Vivace,sexta,1369,1447
2015,dezembro,19,Fora de Série,,1287,
2015,dezembro,20,Fora de Série,,,
2015,dezembro,14,Concertos de Câmara,,,
2015,dezembro,10,Presto/Veloce,,1190,
2015,dezembro,11,Presto/Veloce,,1008,
2015,dezembro,3,Allegro/Vivace,,1231,
2015,dezembro,4,Allegro/Vivace,,930,
2015,novembro,26,Presto/Veloce,,1016,
2015,novembro,27,Presto/Veloce,,784,
2015,novembro,23,Concertos de Câmara,,,
2015,novembro,21,Fora de Série,,1487,
2015,novembro,12,Allegro/Vivace,,1269,
2015,novembro,13,Allegro/Vivace,,1072,
2015,novembro,5,Presto/Veloce,,1061,
2015,novembro,6,Presto/Veloce,,803,
2015,novembro,1,Concertos para a Juventude,,1482,
2015,outubro,29,Concertos de Câmara,,,
2015,outubro,27,Concertos Didáticos,,,
2015,outubro,28,Concertos Didáticos,,,
2015,outubro,24,Fora de Série,,1488,
2015,outubro,18,Concertos de Câmara,,,
2015,outubro,17,Concertos de Câmara,,,
2015,outubro,15,Allegro/Vivace,,1248,
2015,outubro,16,Allegro/Vivace,,1106,
2015,outubro,8,Presto/Veloce,,1066,
2015,outubro,9,Presto/Veloce,,784,
2015,outubro,1,Allegro/Vivace,,1276,
